date, pm25, pm10, no2, latitude, longitude
29/01/2020,20,8,16,59.33716532,18.03549986
30/01/2020,22,5,10,59.33716532,18.03549986
31/01/2020,15,3,4,59.33716532,18.03549986
01/02/2020,11,14,5,59.33716532,18.03549986
02/02/2020,12,24,18,59.33716532,18.03549986
03/02/2020,23,19,24,59.33716532,18.03549986
04/02/2020,27,10,9,59.33716532,18.03549986
05/02/2020,11,19,17,59.33716532,18.03549986
06/02/2020,21,11,17,59.33716532,18.03549986
07/02/2020,22,5,6,59.33716532,18.03549986
08/02/2020,16,12,4,59.33716532,18.03549986
09/02/2020,38,6,5,59.33716532,18.03549986
10/02/2020,14,26,7,59.33716532,18.03549986
11/02/2020,25,11,9,59.33716532,18.03549986
12/02/2020,16,38,13,59.33716532,18.03549986
13/02/2020,27,45,22,59.33716532,18.03549986
14/02/2020,39,7,7,59.33716532,18.03549986
15/02/2020,23,6,3,59.33716532,18.03549986
16/02/2020,18,13,4,59.33716532,18.03549986
17/02/2020,16,18,3,59.33716532,18.03549986
18/02/2020,20,33,11,59.33716532,18.03549986
19/02/2020,26,10,11,59.33716532,18.03549986
20/02/2020,17,25,5,59.33716532,18.03549986
21/02/2020,28,6,3,59.33716532,18.03549986
22/02/2020,9,30,5,59.33716532,18.03549986
23/02/2020,21,49,14,59.33716532,18.03549986
24/02/2020,28,21,13,59.33716532,18.03549986
25/02/2020,19,13,5,59.33716532,18.03549986
26/02/2020,12,5,9,59.33716532,18.03549986
27/02/2020,11,52,14,59.33716532,18.03549986
28/02/2020,37,12,9,59.33716532,18.03549986
29/02/2020,23,7,5,59.33716532,18.03549986
01/03/2020,18,15,9,59.33716532,18.03549986
02/03/2020,21,13,9,59.33716532,18.03549986
03/03/2020,34,4,8,59.33716532,18.03549986
04/03/2020,15,4,8,59.33716532,18.03549986
05/03/2020,10,22,14,59.33716532,18.03549986
06/03/2020,21,21,13,59.33716532,18.03549986
07/03/2020,42,23,6,59.33716532,18.03549986
08/03/2020,52,22,8,59.33716532,18.03549986
09/03/2020,40,12,10,59.33716532,18.03549986
10/03/2020,33,25,9,59.33716532,18.03549986
11/03/2020,26,12,11,59.33716532,18.03549986
12/03/2020,16,35,11,59.33716532,18.03549986
13/03/2020,17,30,7,59.33716532,18.03549986
14/03/2020,15,20,3,59.33716532,18.03549986
15/03/2020,20,25,9,59.33716532,18.03549986
16/03/2020,23,22,6,59.33716532,18.03549986
17/03/2020,22,10,8,59.33716532,18.03549986
18/03/2020,16,34,7,59.33716532,18.03549986
19/03/2020,22,21,8,59.33716532,18.03549986
20/03/2020,19,25,7,59.33716532,18.03549986
21/03/2020,19,16,7,59.33716532,18.03549986
22/03/2020,16,25,6,59.33716532,18.03549986
23/03/2020,18,47,7,59.33716532,18.03549986
24/03/2020,32,42,6,59.33716532,18.03549986
25/03/2020,44,34,8,59.33716532,18.03549986
26/03/2020,52,41,13,59.33716532,18.03549986
27/03/2020,60,27,5,59.33716532,18.03549986
28/03/2020,42,15,5,59.33716532,18.03549986
29/03/2020,11,20,8,59.33716532,18.03549986
30/03/2020,12,17,7,59.33716532,18.03549986
31/03/2020,13,18,9,59.33716532,18.03549986
01/10/2019,11,5,13,59.33716532,18.03549986
02/10/2019,10,3,10,59.33716532,18.03549986
03/10/2019,8,5,12,59.33716532,18.03549986
04/10/2019,12,4,8,59.33716532,18.03549986
05/10/2019,10,5,10,59.33716532,18.03549986
06/10/2019,11,11,16,59.33716532,18.03549986
07/10/2019,15,10,15,59.33716532,18.03549986
08/10/2019,16,9,10,59.33716532,18.03549986
09/10/2019,17,11,14,59.33716532,18.03549986
10/10/2019,28,10,9,59.33716532,18.03549986
11/10/2019,21,8,5,59.33716532,18.03549986
12/10/2019,20,8,8,59.33716532,18.03549986
13/10/2019,18,7,12,59.33716532,18.03549986
14/10/2019,15,5,9,59.33716532,18.03549986
15/10/2019,15,8,7,59.33716532,18.03549986
16/10/2019,23,7,10,59.33716532,18.03549986
17/10/2019,20,12,10,59.33716532,18.03549986
18/10/2019,27,10,5,59.33716532,18.03549986
19/10/2019,29,11,8,59.33716532,18.03549986
20/10/2019,30,8,9,59.33716532,18.03549986
21/10/2019,22,10,5,59.33716532,18.03549986
22/10/2019,25,11,9,59.33716532,18.03549986
23/10/2019,21,16,10,59.33716532,18.03549986
24/10/2019,36,22,7,59.33716532,18.03549986
25/10/2019,56,7,10,59.33716532,18.03549986
26/10/2019,17,5,8,59.33716532,18.03549986
27/10/2019,14,8,16,59.33716532,18.03549986
28/10/2019,15,11,18,59.33716532,18.03549986
29/10/2019,15,12,18,59.33716532,18.03549986
30/10/2019,15,17,18,59.33716532,18.03549986
31/10/2019,20,19,19,59.33716532,18.03549986
01/11/2019,31,23,13,59.33716532,18.03549986
02/11/2019,53,17,6,59.33716532,18.03549986
03/11/2019,48,6,6,59.33716532,18.03549986
04/11/2019,11,9,12,59.33716532,18.03549986
05/11/2019,13,13,13,59.33716532,18.03549986
06/11/2019,15,12,18,59.33716532,18.03549986
07/11/2019,24,9,9,59.33716532,18.03549986
08/11/2019,28,12,7,59.33716532,18.03549986
09/11/2019,36,3,7,59.33716532,18.03549986
10/11/2019,10,6,10,59.33716532,18.03549986
11/11/2019,17,12,9,59.33716532,18.03549986
12/11/2019,34,13,16,59.33716532,18.03549986
13/11/2019,39,7,14,59.33716532,18.03549986
14/11/2019,26,18,11,59.33716532,18.03549986
15/11/2019,48,15,4,59.33716532,18.03549986
16/11/2019,46,13,6,59.33716532,18.03549986
17/11/2019,39,16,7,59.33716532,18.03549986
18/11/2019,44,16,6,59.33716532,18.03549986
19/11/2019,48,8,6,59.33716532,18.03549986
20/11/2019,23, , ,59.33716532,18.03549986
22/11/2019,52, , ,59.33716532,18.03549986
24/11/2019,49,28,10,59.33716532,18.03549986
25/11/2019,60,21,11,59.33716532,18.03549986
26/11/2019,50,19,12,59.33716532,18.03549986
27/11/2019,49,13,11,59.33716532,18.03549986
28/11/2019,40,4,15,59.33716532,18.03549986
29/11/2019,11,7,13,59.33716532,18.03549986
30/11/2019,17,5,8,59.33716532,18.03549986
01/12/2019,12,6,28,59.33716532,18.03549986
02/12/2019,14,4,17,59.33716532,18.03549986
03/12/2019,11,6,13,59.33716532,18.03549986
04/12/2019,16,14,7,59.33716532,18.03549986
05/12/2019,23,5,13,59.33716532,18.03549986
06/12/2019,14,3,9,59.33716532,18.03549986
07/12/2019,10,3,6,59.33716532,18.03549986
08/12/2019,10,7,12,59.33716532,18.03549986
09/12/2019,13,5,26,59.33716532,18.03549986
10/12/2019,14,5,10,59.33716532,18.03549986
11/12/2019,14,13,10,59.33716532,18.03549986
12/12/2019,38,16,11,59.33716532,18.03549986
13/12/2019,51,8,4,59.33716532,18.03549986
14/12/2019,27,5,8,59.33716532,18.03549986
15/12/2019,17,5,11,59.33716532,18.03549986
16/12/2019,15,10,16,59.33716532,18.03549986
17/12/2019,27,5,14,59.33716532,18.03549986
18/12/2019,14,8,16,59.33716532,18.03549986
19/12/2019,22,16,8,59.33716532,18.03549986
20/12/2019,51,32,6,59.33716532,18.03549986
21/12/2019,77,12,8,59.33716532,18.03549986
22/12/2019,33,23,24,59.33716532,18.03549986
23/12/2019,35,21,19,59.33716532,18.03549986
24/12/2019,45,9,9,59.33716532,18.03549986
25/12/2019,31,5,7,59.33716532,18.03549986
26/12/2019,16,9,10,59.33716532,18.03549986
27/12/2019,16,7,13,59.33716532,18.03549986
28/12/2019,18,10,5,59.33716532,18.03549986
29/12/2019,33, , ,59.33716532,18.03549986
01/04/2019,35,60,8,59.33716532,18.03549986
02/04/2019,33,45,8,59.33716532,18.03549986
03/04/2019,43,42,8,59.33716532,18.03549986
04/04/2019,59,47,10,59.33716532,18.03549986
05/04/2019,63,40,8,59.33716532,18.03549986
